Grupo muscular (es),Ejercicio (es),Ejercicio (en),Descripción,Ruta imagen
Abdominales,3/4 sentadilla,3/4 Sit-up,"Read our 3/4 sit-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\34 sentadilla\Read our 34 sit-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,AB Roller Crunch,Ab Roller Crunch,"Read our ab roller crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\AB Roller Crunch\Read our ab roller crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Levanta de la pierna alternativa del piso mentiroso,Alternate Lying Floor Leg Raise,"Read our alternate lying floor leg raise guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Levanta de la pierna alternativa del piso mentiroso\Read our alternate lying floor leg raise guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Abdomine asistido,Assisted Sit-up,"Read our assisted sit-up guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Abdomine asistido\Read our assisted sit-up guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Banda de pie Crunch,Band Standing Crunch,"Read our band standing crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Banda de pie Crunch\Read our band standing crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Barbell Press Sent Up,Barbell Press Sit Up,"Read our barbell press sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Barbell Press Sent Up\Read our barbell press sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Despliegue de barra,Barbell Rollout,"Read our barbell rollout guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Despliegue de barra\Read our barbell rollout guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Barbell Rollout desde el banco,Barbell Rollout From Bench,"Read our barbell rollout from bench guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Barbell Rollout desde el banco\Read our barbell rollout from bench guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Estiramiento del barco,Boat Stretch,"Read our boat stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Estiramiento del barco\Read our boat stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Tablón de sierra para el cuerpo,Body Saw Plank,"Read our body saw plank guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Tablón de sierra para el cuerpo\Read our body saw plank guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Molino de viento de peso corporal,Bodyweight Windmill,"Read our bodyweight windmill guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Molino de viento de peso corporal\Read our bodyweight windmill guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Puente a tope,Butt Bridge,"Read our butt bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Puente a tope\Read our butt bridge guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Ups,Butt Ups,"Read our butt ups guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Ups\Read our butt ups guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Cable de rodilla Crunch,Cable Kneeling Crunch,"Read our cable kneeling crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Cable de rodilla Crunch\Read our cable kneeling crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crunch inverso de cable,Cable Reverse Crunch,"Read our cable reverse crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crunch inverso de cable\Read our cable reverse crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Cable sentado crujido,Cable Seated Crunch,"Read our cable seated crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Cable sentado crujido\Read our cable seated crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Cable de pie Crunch,Cable Standing Crunch,"Read our cable standing crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Cable de pie Crunch\Read our cable standing crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Cable Tuck Crunch inverso,Cable Tuck Reverse Crunch,"Read our cable tuck reverse crunch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Cable Tuck Crunch inverso\Read our cable tuck reverse crunch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Capitanes silla de pierna recta,Captains Chair Straight Leg Raise,"Read our captains chair straight leg raise guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Capitanes silla de pierna recta\Read our captains chair straight leg raise guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Estiramiento de vaca de gato,Cat Cow Stretch,"Read our cat cow stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Estiramiento de vaca de gato\Read our cat cow stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Elevación de pecho con rotación,Chest Lift With Rotation,"Read our chest lift with rotation guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Elevación de pecho con rotación\Read our chest lift with rotation guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Estiramiento de la barbilla al pecho,Chin to Chest Stretch,"Read our chin to chest stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Estiramiento de la barbilla al pecho\Read our chin to chest stretch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Pose de yoga de cobra,Cobra Yoga Pose,"Read our cobra yoga pose guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Pose de yoga de cobra\Read our cobra yoga pose guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Capullos,Cocoons,"Read our cocoons guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Capullos\Read our cocoons guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Aumentos de la pierna cruzada de la cruz,Criss Cross Leg Raises,"Read our criss cross leg raises guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Aumentos de la pierna cruzada de la cruz\Read our criss cross leg raises guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crujido de cuerpo cruzado,Cross Body Crunch,"Read our cross body crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crujido de cuerpo cruzado\Read our cross body crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Arraigarse,Crunch Hold,"Read our crunch hold guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Arraigarse\Read our crunch hold guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Levante de una sola pierna crujiente,Crunch Single Leg Lift,"Read our crunch single leg lift guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Levante de una sola pierna crujiente\Read our crunch single leg lift guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Crunch con bola de medicina,Crunch With Medicine Ball,"Read our crunch with medicine ball guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Crunch con bola de medicina\Read our crunch with medicine ball guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Rizado,Curl-up,"Read our curl-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Rizado\Read our curl-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Insecto,Dead Bug,"Read our dead bug guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Insecto\Read our dead bug guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Declive Crunch,Decline Crunch,"Read our decline crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Declive Crunch\Read our decline crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Estiramiento de doble pierna,Double Leg Stretch,"Read our double leg stretch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Estiramiento de doble pierna\Read our double leg stretch guide. Lwearn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Mancuerna,Dumbbell Overhead Sit Up,"Read our dumbbell overhead sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Mancuerna\Read our dumbbell overhead sit up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Paso de tablón de mancuernas,Dumbbell Plank Pass Through,"Read our dumbbell plank pass through guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Paso de tablón de mancuernas\Read our dumbbell plank pass through guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Despliegue de mancuernas,Dumbbell Rollout,"Read our dumbbell rollout guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Despliegue de mancuernas\Read our dumbbell rollout guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Mancisco de brazo recto,Dumbbell Straight Arm Crunch,"Read our dumbbell straight arm crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Mancisco de brazo recto\Read our dumbbell straight arm crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Mancuerna,Dumbbell V Up,"Read our dumbbell v up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Mancuerna-1\Read our dumbbell v up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Codo a rodilla,Elbow to Knee,"Read our elbow to knee guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Codo a rodilla\Read our elbow to knee guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Rana crujiente,Frog Crunch,"Read our frog crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Rana crujiente\Read our frog crunch guide. Learn how to do this exercise, the muscles worked, and the main benefits.jpg"
Abdominales,Rana plancha,Frog Planche,"Read our frog planche guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Rana plancha\Read our frog planche guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
Abdominales,Abatimiento de la rana,Frog Sit-up,"Read our frog sit-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.","docs\ejercicios\Abdominales\Abatimiento de la rana\Read our frog sit-up guide. Learn how to do this exercise, the muscles worked, and the main benefits.webp"
